番号,単語,発音記号,品詞,意味,補足,例文,例文訳
47,save,/seɪv/,動詞、前置詞,【動】救う、貯金する、節約する、保存する<br>【前】〜を除いて,前置詞として except と同様に「〜を除いて」という意味で用いられることがあります（文語的）。,"【動】I tried to save money by cooking at home, then saved even more by burning it and ordering pizza.<br>【前】Everyone came to the surprise party save the guest of honor, who had simply forgotten.",【動】家で料理してお金を節約しようとし、それを焦がしてピザを注文することでさらに節約した。<br>【前】主賓を除いて全員がサプライズパーティーに来たが、その主賓は単に忘れていた。
48,medicine,/ˈmedsn/,名詞,薬、医学,take medicine で「薬を飲む」となります。液状や錠剤などの内服薬全般を指します。,"The best medicine, they say, is laughter; the second best is not reading the comments online.",最良の薬は笑いだという。第二の薬は、ネットのコメント欄を読まないことだ。
49,patient,/ˈpeɪʃnt/,名詞、形容詞,【名】患者<br>【形】忍耐強い、我慢強い,形容詞としての名詞形は patience（忍耐、我慢強さ）になります。,"【名】The patient asked the doctor for a second opinion, then a third, then a fourth.<br>【形】My grandmother is endlessly patient, except when someone touches the thermostat.",【名】その患者は医者にセカンドオピニオンを求め、次にサード、そしてフォースを求めた。<br>【形】祖母は果てしなく忍耐強い。ただし誰かが温度調節器に触れた時を除いて。
50,condition,/kənˈdɪʃn/,名詞、動詞,【名】状態、健康状態、条件<br>【動】条件づける、調整する,on condition that ... で「〜という条件で」という接続詞のように使われます。,"【名】The car was in perfect condition, apart from the small detail that it refused to start.<br>【動】Years of comfort had conditioned the cat to expect breakfast the very instant anyone blinked.",【名】その車は完璧な状態だった。始動を拒否するという小さな点を除けば。<br>【動】長年の快適さが猫を条件づけ、誰かが瞬きした瞬間に朝食を期待するようにさせた。
51,medical,/ˈmedɪkl/,形容詞、名詞,【形】医学の、医療の、内科の<br>【名】健康診断,医療や治療全般に関連する代表的な形容詞です。,"【形】The medical form asked forty questions, the last being whether I had energy to fill out forms.<br>【名】He rushed the injured hiker to the medical, where they mostly offered tea and mild concern.",【形】その医療用紙は四十の質問をし、最後のは私に書類を埋める気力があるかどうかだった。<br>【名】彼は負傷したハイカーを医務室へ運んだが、そこでは主にお茶と軽い心配が提供された。
52,stress,/stres/,名詞、動詞,【名】ストレス、強調、強音<br>【動】強調する、圧迫する,精神的・身体的なストレスのほか、言葉の「強勢（アクセント）」や「重要視」も意味します。,"【名】The stress of choosing a movie ended nine friendships and one otherwise pleasant evening.<br>【動】The coach stressed the importance of teamwork, then benched everyone who dared to pass the ball.",【名】映画選びのストレスが、九つの友情と、それ以外は快適だった一晩を終わらせた。<br>【動】コーチはチームワークの重要性を強調し、それからボールをパスした者全員をベンチに下げた。
53,suffer,/ˈsʌfər/,動詞,苦しむ、損害を被る、患う,自他動詞。特に suffer from 病気/苦痛 で「〜で苦しむ、患う」と表現します。,"He claims to suffer greatly, mostly because the coffee shop ran out of his favorite muffin.",彼はひどく苦しんでいると主張するが、主にカフェがお気に入りのマフィンを切らしたせいだ。
54,exercise,/ˈeksərsaɪz/,名詞、動詞,【名】運動、練習問題、行使<br>【動】運動する、行使する,体を動かす「運動」以外に、権利や職権などを「行使する」という硬い意味の動詞でもあります。,"【名】My daily exercise consists of walking to the fridge and back with impressive dedication.<br>【動】She exercises every morning, which the rest of us respect deeply from a safe, seated distance.",【名】私の毎日の運動は、見事な献身をもって冷蔵庫まで歩いて往復することで成り立っている。<br>【動】彼女は毎朝運動する。残りの我々は、安全な着席距離からそれを深く尊敬している。
55,breathe,/briːð/,動詞,呼吸する、息をする,名詞形は breath /breθ/ で、最後の音が清音 /θ/ になり、eが付かないスペルになります。,Remember to breathe during the presentation; passing out tends to distract from your key points.,プレゼン中は呼吸を忘れずに。気絶すると、要点から注意がそれがちだから。
56,thirsty,/ˈθɜːrsti/,形容詞,喉が渇いた、切望して,単に水が飲みたい状態のほか、知識などを「切望している（thirsty for ...）」とも言います。,"I get thirsty the exact moment I settle into bed, as if my body enjoys a good practical joke.",ベッドに落ち着いたまさにその瞬間に喉が渇く。まるで私の体が良いいたずらを楽しんでいるかのように。
57,physical,/ˈfɪzɪkl/,形容詞、名詞,【形】身体の、物理的な、物質の<br>【名】健康診断,精神的（mental）なことに対する「物理的・肉体的」なことを指す際によく使われます。,"【形】He avoids all physical activity except the intense sport of reaching for the remote.<br>【名】The rookie passed the physical easily, then failed the far harder test of staying awake in training.",【形】彼はリモコンに手を伸ばすという激しいスポーツを除き、あらゆる身体活動を避ける。<br>【名】その新人は身体検査を楽々と通過したが、研修中に起きているというはるかに難しい試練に落ちた。
58,fever,/ˈfiːvər/,名詞,熱、発熱、熱狂,体温の上昇による発熱だけでなく、一時的な社会的ブームや「熱狂」を意味することもあります。,He ran a slight fever and declared it a national emergency requiring immediate soup and sympathy.,彼は微熱を出し、それを即座のスープと同情を要する国家的緊急事態だと宣言した。
59,strength,/streŋθ/,名詞,強さ、力、長所、強み,形容詞 strong の名詞形。企業分析などで用いられる「強み（長所）」としても頻出。,"It takes real strength to open a jar of pickles, and even more to admit you can't.",ピクルスの瓶を開けるには本物の力がいる。そして開けられないと認めるには、さらに大きな力がいる。
60,tear,/tɪər/ (涙)<br>/tɛər/ (裂く),名詞、動詞,【名】涙、裂け目<br>【動】裂く、引きちぎる,"涙を意味する場合は /tɪər/、紙や布を引き裂く（過去 tore, 過去分詞 torn）場合は /tɛər/ と発音が異なります。","【名】A single tear rolled down his cheek as he watched the last slice of pizza vanish forever.<br>【動】Be careful not to tear the wrapping paper; my grandmother reuses it, and she remembers everything.",【名】最後のピザ一切れが永遠に消えるのを見つめ、彼の頬を一筋の涙が伝った。<br>【動】包装紙を破らないよう気をつけて。祖母はそれを再利用するし、すべてを覚えているから。
61,taste,/teɪst/,名詞、動詞,【名】味、味覚、好み、風味<br>【動】味がする、味わう,「（芸術や音楽などの）趣味、好み」という意味の表現でも重要（例：have good taste in music）。,"【名】The soup had a strange taste that everyone politely called ""interesting"" and quietly stopped eating.<br>【動】He bravely tasted the mystery sauce, then spent the next hour rethinking several life choices.",【名】そのスープは奇妙な味がして、全員が礼儀正しく「興味深い」と呼び、そっと食べるのをやめた。<br>【動】彼は勇敢にも謎のソースを味見し、その後一時間、いくつかの人生の選択を考え直して過ごした。
62,rule,/ruːl/,名詞、動詞,【名】規則、規定、支配<br>【動】支配する、裁定する,動詞として、国や組織などを「支配・統治する」という意味でも頻出します。,"【名】The one rule of the house is that there are no rules, which is itself a confusing rule.<br>【動】The tiny kitten rules the household with an iron paw and a truly relentless meow.",【名】この家の唯一の規則は「規則はない」というもので、それ自体が紛らわしい規則だ。<br>【動】その小さな子猫は、鉄の肉球と実に容赦ない鳴き声で家庭を支配している。
63,role,/roʊl/,名詞,役割、役、任務,play an important role in ...（〜で重要な役割を果たす）というフレーズが非常によく使われます。,"He takes his role as ""person who reheats the office coffee"" with almost heroic seriousness.",彼は「オフィスのコーヒーを温め直す人」という役割を、ほとんど英雄的な真剣さで担っている。
64,habit,/ˈhæbɪt/,名詞,（個人の）習慣、癖,個人の無意識な習慣や癖を指します（爪を噛むなど）。社会の「習わし」は custom を用います。,"Checking my phone the instant I wake up is a habit I plan to break, right after this one last scroll.",起きた瞬間にスマホを見るのは、やめようと思っている習慣だ。この最後の一スクロールの、すぐ後で。
65,custom,/ˈkʌstəm/,名詞、形容詞,【名】（社会的な）習慣、習わし、税関<br>【形】特注の、あつらえの,複数形の customs は、空港や国境における「税関」という意味を指します。,"【名】It is our family custom to argue loudly over board games and pretend afterward that nothing happened.<br>【形】He ordered a custom cake shaped like his own face, which delighted precisely no one else.",【名】ボードゲームで大声で言い争い、後から何もなかったふりをするのが我が家の習慣だ。<br>【形】彼は自分の顔の形をした特注ケーキを注文したが、それは他の誰も一切喜ばせなかった。
66,tradition,/trəˈdɪʃn/,名詞,伝統、伝承、慣習,歴史的に長い世代にわたって受け継がれてきた伝統行事や思想を指します。,It's a beautiful tradition to gather every holiday and immediately debate who cooks best.,祝日ごとに集まり、即座に誰が一番料理上手かを議論するのは、美しい伝統だ。
67,society,/səˈsaɪəti/,名詞,社会、協会、学会,人間社会全体や共同体、または共通の目的を持った組織としての「学会・クラブ」を指します。,"Society agrees on many things, but never on the correct volume for a phone call in public.",社会は多くのことで合意するが、公共の場での電話の適切な音量については決して合意しない。
68,law,/lɔː/,名詞,法律、法、法則,国家の法律だけでなく、物理や自然科学における「法則（例：the law of gravity）」も指します。,"The law clearly states you must not park here, which the seagulls interpret as a personal invitation.",法律はここに駐車してはならないと明記しているが、カモメたちはそれを個人的な招待と解釈している。
69,ancestor,/ˈænsestər/,名詞,祖先、先祖,系統としての人間・動植物の祖先。また、現在の機械などの「原型・前身」を指すこともあります。,My ancestor supposedly crossed an ocean bravely; I get seasick looking at a strong bathtub.,私の先祖は勇敢に大洋を渡ったとされるが、私は勢いのある浴槽を見るだけで船酔いする。
70,population,/ˌpɑːpjuˈleɪʃn/,名詞,人口、全住民、（特定の）個体群,単に人間だけでなく、ある地域内に生息する特定の動物や植物の「個体数・個体群」も指します。,"The town's entire population fits in one small cafe, and somehow the coffee line is still long.",その町の全人口は一軒の小さなカフェに収まるが、なぜかコーヒーの列は今も長い。
71,native,/ˈneɪtɪv/,形容詞、名詞,【形】生まれ故郷の、固有の、自国の<br>【名】現地人、その土地で生まれた人,native to ... で「〜に固有・自生の（動植物）」などの使い方もあります。,"【形】As a native speaker, she still couldn't explain why the language has so many silent letters.<br>【名】The tour guide, a proud native of the town, knew every shortcut and every embarrassing local legend.",【形】ネイティブスピーカーである彼女でさえ、なぜその言語に無音の文字がこんなに多いのか説明できなかった。<br>【名】その町の誇り高い地元民であるガイドは、あらゆる近道と、あらゆる恥ずかしい地元の伝説を知っていた。
72,abroad,/əˈbrɔːd/,副詞,海外に、外国で,副詞であるため、go to abroad のように前置詞 to を直前に置くのは誤りです（go abroad）。,"He dreamed of studying abroad, then realized ""abroad"" also has early morning classes.",彼は留学を夢見たが、「海外」にも早朝の授業があると気づいた。
73,local,/ˈloʊkl/,形容詞、名詞,【形】地元の、現地の、部分的な<br>【名】地元の人、各駅停車,主に特定の地方・狭い地域に関する事を指します。医学用語では「局所的な（local anesthesia：局所麻酔）」の意味もあります。,"【形】The local diner serves one dish, cooks it perfectly, and refuses to explain the recipe to anyone.<br>【名】As a proud local, he gave directions using landmarks that had been demolished a decade ago.",【形】その地元の食堂は一品だけ出し、それを完璧に作り、レシピを誰にも説明することを拒む。<br>【名】誇り高い地元民である彼は、十年前に取り壊された目印を使って道案内をした。
74,survey,/ˈsɜːrveɪ/,名詞、動詞,【名】調査、概観、測定<br>【動】調査する、見渡す,アンケートによる世論調査、全体をざっと見渡す調査、あるいは土地の「測量」を意味します。,"【名】The survey asked how satisfied I was, then offered no box for ""it depends entirely on the coffee.""<br>【動】The scientists set out to survey the remote valley, and mostly surveyed a flock of judgmental sheep.",【名】そのアンケートは私の満足度を尋ねたが、「コーヒー次第」という選択肢は用意していなかった。<br>【動】科学者たちは人里離れた谷を調査しに出かけ、主に批判的な羊の群れを調査した。
75,value,/ˈvæljuː/,名詞、動詞,【名】価値、有用性、評価、価格<br>【動】評価する、重んじる,複数形 values で、社会的な「価値観」を意味することが多くあります。,"【名】He finally understood the value of sleep the very week he had a newborn and none of it.<br>【動】I value honesty, which is why I told her the cake was ""technically edible.""",【名】彼は睡眠の価値をやっと理解した。新生児がいて、睡眠が皆無になったまさにその週に。<br>【動】私は正直さを重んじる。だからこそ彼女に、そのケーキは「一応食べられる」と伝えた。
76,treasure,/ˈtreʒər/,名詞、動詞,【名】宝物、財宝<br>【動】大切にする、秘蔵する,物理的な宝だけでなく、心の中の思い出や友情を「非常に大切にする」という動詞でも多用されます。,"【名】He guards his snack drawer like a national treasure, complete with an unspoken threat.<br>【動】She treasures every childhood photo, especially the ones nobody else is allowed to see.",【名】彼はおやつの引き出しを、暗黙の脅しつきで、国宝のように守っている。<br>【動】彼女は幼少期の写真をすべて大切にしている。特に他の誰にも見せないものを。
